id_municipio,ano,mortalidade_1,mortalidade_5,taxa_freq_liquida_pre,indice_gini,prop_pobreza_extrema_criancas,prop_pobreza_criancas,prop_vulner_pobreza_criancas,taxa_agua_esgoto_inadequados,taxa_criancas_fora_escola_4_5
3507753,1991,33.29,37.66,0,0.36,10.83,32.18,67.42,1.04,NA
3508900,2010,15.7,18.19,65.66,0.37,2.3,8.51,32.88,0.22,16.09
3511201,1991,26.85,30.4,18.32,0.35,0.23,8.66,40.96,0.24,NA
3511904,2010,15.9,18.42,85.71,0.37,1.21,6.69,28.27,0,5.08
3513850,2010,13.9,16.11,71.09,0.37,3.11,8.97,31.97,0.35,4.06
3514205,1991,21.54,24.66,6.19,0.36,10.88,27.35,66.86,1.5,NA
3514205,2010,15.5,17.95,89.58,0.36,0,6.57,27.71,0,0
3514304,2010,16.9,19.54,69.73,0.37,1.39,5.44,23.63,0,0
3514924,1991,21.54,24.66,0,0.37,1.63,24.02,61.65,0,NA
3514924,2000,20.7,24.07,0,0.37,5.53,10.69,43.14,0,83.44
3514924,2010,15.5,17.93,51.9,0.33,0,3.51,12.27,0,6.61
3514957,2010,14.1,16.32,80.85,0.36,0.97,4.46,23.23,0.41,8.5
3515129,2000,21.6,25.04,51.56,0.76,42.17,85.87,100,0.39,48.44
3515905,2010,17.2,19.85,41.48,0.37,1.27,7.93,35.56,0,21.01
3516507,2010,17.1,19.77,81.03,0.37,1.44,1.86,20.79,0,0
3516853,2010,17.8,20.56,60.63,0.35,2.99,17.38,32.53,0.68,7.27
3517604,2000,24.4,28.32,0,0.69,36.52,61.86,83.97,27.53,99.28
3519303,1991,27.96,31.65,10.78,0.37,2.25,14.79,51.62,0.06,NA
3519303,2010,16.6,19.24,50.63,0.37,1.76,8.62,32.67,0.17,17.17
3520004,1991,26.68,30.21,3.93,0.34,1.35,7.95,30.79,0,NA
3520004,2010,14.3,16.53,58.2,0.36,0.98,8.69,34.15,0,16.94
3520806,2010,13.3,15.42,68,0.37,0.36,3.83,28.11,0.07,14.39
3521150,2010,14.2,16.47,70.97,0.36,1.51,4.57,29.76,0.61,20
3521507,2010,13.8,15.96,80.02,0.36,0.32,9.7,35.31,0,5.97
3522000,2010,15.7,18.16,88.96,0.37,0.87,13.25,35.98,0,5.47
3524501,2010,16.2,18.78,70.33,0.35,0.35,6.68,32.44,0.12,10.65
3527256,2010,16.4,18.97,85.48,0.37,6.32,18.06,35.66,0,14.52
3527702,2010,16.5,19.11,62.45,0.35,0.61,5.09,30.57,0.35,23.27
3528858,1991,21.64,24.51,0,0.35,1.74,38.04,80.98,0,NA
3528908,2010,15.1,17.45,81.1,0.37,1.94,7.89,34.4,4.17,15.47
3529500,2010,12.1,14.03,64.95,0.36,1.99,5.4,20.1,0.18,4.65
3529658,2010,13.5,15.59,74.33,0.37,1.87,11.54,48.69,0,0
3530003,1991,33.62,38.03,7.62,0.81,100,100,100,0,NA
3532058,1991,22.92,25.97,14.6,0.34,6.11,12.09,29.02,0,NA
3532157,2010,19,22.04,51.55,0.35,0.72,9,46.21,0,0
3532207,2010,14.2,16.47,74.76,0.36,0.85,8.22,39.89,0.15,10.66
3532702,2010,16.6,19.24,62.16,0.37,0.78,11.28,28.05,0,14.11
3532843,2010,17.4,20.17,67.68,0.34,5.36,15.69,43.84,0.21,7.27
3532868,2010,15.7,18.17,87.38,0.36,2.43,13.75,30.46,0,4.59
3533205,2010,15.3,17.72,75.46,0.36,2,7.71,33.8,0.3,9.73
3533254,1991,30.11,34.08,0,0.35,0,26.07,72.38,0,NA
3533304,2010,17.2,19.85,72.32,0.35,0,1.27,25.15,0,13.53
3534005,2010,12.1,14.03,83.23,0.34,0,5.87,20.7,0.26,5.45
3535101,2010,14.4,16.68,47.59,0.34,0.25,2.56,24.7,0,18.6
